symbol,timestamp,block_reason,signal,confidence,regime
TCS.NS,2026-01-01 09:15:00,regime_blocked,SELL,0.4065766420808398,SIDEWAYS
INFY.NS,2026-01-01 09:15:00,conf_blocked,HOLD,0.35494577138724065,SIDEWAYS
WIPRO.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.4017383707793455,TRENDING_UP
HCLTECH.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.34149841919152796,SIDEWAYS
HDFCBANK.NS,2026-01-01 09:15:00,regime_blocked,HOLD,0.3540906875804518,TRENDING_DOWN
ICICIBANK.NS,2026-01-01 09:15:00,regime_blocked,HOLD,0.3542573855383592,TRENDING_DOWN
KOTAKBANK.NS,2026-01-01 09:15:00,conf_blocked,BUY,0.34582569981695843,SIDEWAYS
AXISBANK.NS,2026-01-01 09:15:00,conf_blocked,BUY,0.3851517116442139,SIDEWAYS
SBIN.NS,2026-01-01 09:15:00,regime_blocked,HOLD,0.3804210330441807,TRENDING_DOWN
RELIANCE.NS,2026-01-01 09:15:00,regime_blocked,SELL,0.3661769776905168,SIDEWAYS
MARUTI.NS,2026-01-01 09:15:00,conf_blocked,BUY,0.4096714930302775,SIDEWAYS
M&M.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.3951852654494577,TRENDING_UP
BAJAJ-AUTO.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.405600646763419,SIDEWAYS
SUNPHARMA.NS,2026-01-01 09:15:00,regime_blocked,HOLD,0.3930992463010036,TRENDING_DOWN
DRREDDY.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.8852397023807107,TRENDING_UP
CIPLA.NS,2026-01-01 09:15:00,regime_blocked,HOLD,0.35641372252455983,TRENDING_DOWN
HINDUNILVR.NS,2026-01-01 09:15:00,conf_blocked,HOLD,0.4184231139972297,TRENDING_DOWN
NESTLEIND.NS,2026-01-01 09:15:00,regime_blocked,SELL,0.3736181787808152,SIDEWAYS
BRITANNIA.NS,2026-01-01 09:15:00,conf_blocked,BUY,0.3800093957818994,SIDEWAYS
HINDALCO.NS,2026-01-01 09:15:00,regime_blocked,BUY,0.3550998310431654,SIDEWAYS
BHARTIARTL.NS,2026-01-01 09:15:00,conf_blocked,SELL,0.38457398718837854,SIDEWAYS
LT.NS,2026-01-01 09:15:00,regime_blocked,SELL,0.3795667806546783,SIDEWAYS
TCS.NS,2026-01-01 09:20:00,conf_blocked,HOLD,0.3789077171541043,SIDEWAYS
WIPRO.NS,2026-01-01 09:20:00,regime_blocked,SELL,0.3535166969543469,TRENDING_UP
HCLTECH.NS,2026-01-01 09:20:00,conf_blocked,HOLD,0.36555604041660944,SIDEWAYS
KOTAKBANK.NS,2026-01-01 09:20:00,conf_blocked,HOLD,0.3430845910840616,SIDEWAYS
AXISBANK.NS,2026-01-01 09:20:00,conf_blocked,BUY,0.40021514364885435,SIDEWAYS
RELIANCE.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.3580284163814677,SIDEWAYS
BPCL.NS,2026-01-01 09:20:00,regime_blocked,SELL,0.3612142866820231,TRENDING_UP
MARUTI.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.3694759600618913,SIDEWAYS
M&M.NS,2026-01-01 09:20:00,regime_blocked,SELL,0.37018501605225757,TRENDING_UP
BAJAJ-AUTO.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.37474469891015616,SIDEWAYS
DRREDDY.NS,2026-01-01 09:20:00,regime_blocked,BUY,0.42084371523106007,HIGH_VOL
NESTLEIND.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.38387830342291995,SIDEWAYS
BRITANNIA.NS,2026-01-01 09:20:00,conf_blocked,BUY,0.3591017405218681,SIDEWAYS
HINDALCO.NS,2026-01-01 09:20:00,conf_blocked,HOLD,0.3581843381242319,SIDEWAYS
BHARTIARTL.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.36741527191751766,SIDEWAYS
LT.NS,2026-01-01 09:20:00,conf_blocked,SELL,0.35886451328568764,SIDEWAYS
WIPRO.NS,2026-01-01 09:25:00,regime_blocked,HOLD,0.3423361571275878,TRENDING_UP
AXISBANK.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.33552624026461114,SIDEWAYS
RELIANCE.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.3732800966464301,SIDEWAYS
ONGC.NS,2026-01-01 09:25:00,conf_blocked,HOLD,0.35644362262209106,TRENDING_UP
MARUTI.NS,2026-01-01 09:25:00,conf_blocked,BUY,0.3507824989656928,SIDEWAYS
M&M.NS,2026-01-01 09:25:00,regime_blocked,SELL,0.3512216343375374,TRENDING_UP
BAJAJ-AUTO.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.3571940889433506,SIDEWAYS
DRREDDY.NS,2026-01-01 09:25:00,regime_blocked,BUY,0.3588560740180608,TRENDING_UP
NESTLEIND.NS,2026-01-01 09:25:00,conf_blocked,HOLD,0.3511695428848739,SIDEWAYS
BRITANNIA.NS,2026-01-01 09:25:00,conf_blocked,HOLD,0.3730045748898855,SIDEWAYS
TATASTEEL.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.38344824972373714,SIDEWAYS
BHARTIARTL.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.3545018013960299,SIDEWAYS
LT.NS,2026-01-01 09:25:00,conf_blocked,SELL,0.3595619786919955,SIDEWAYS
INFY.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.4036116549321078,SIDEWAYS
AXISBANK.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.34632182364879327,SIDEWAYS
RELIANCE.NS,2026-01-01 09:30:00,conf_blocked,SELL,0.37081340685756725,SIDEWAYS
BPCL.NS,2026-01-01 09:30:00,regime_blocked,SELL,0.3632468721799805,TRENDING_UP
MARUTI.NS,2026-01-01 09:30:00,conf_blocked,BUY,0.34711925411220684,SIDEWAYS
M&M.NS,2026-01-01 09:30:00,regime_blocked,HOLD,0.3540407350187052,TRENDING_UP
BAJAJ-AUTO.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.38103057713352834,SIDEWAYS
DRREDDY.NS,2026-01-01 09:30:00,conf_blocked,BUY,0.41190174219936915,TRENDING_UP
TATASTEEL.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.3998735925193019,SIDEWAYS
BHARTIARTL.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.370325353652141,SIDEWAYS
LT.NS,2026-01-01 09:30:00,conf_blocked,HOLD,0.36391297279191204,SIDEWAYS
RELIANCE.NS,2026-01-01 09:35:00,conf_blocked,HOLD,0.3765253974018815,SIDEWAYS
BPCL.NS,2026-01-01 09:35:00,regime_blocked,HOLD,0.360697989178924,TRENDING_UP
MARUTI.NS,2026-01-01 09:35:00,conf_blocked,HOLD,0.3510806588602216,SIDEWAYS
DRREDDY.NS,2026-01-01 09:35:00,conf_blocked,BUY,0.39850260098009027,TRENDING_UP
NESTLEIND.NS,2026-01-01 09:35:00,conf_blocked,HOLD,0.36758556334910936,SIDEWAYS
DRREDDY.NS,2026-01-01 09:40:00,conf_blocked,HOLD,0.3667900079536479,TRENDING_UP
DRREDDY.NS,2026-01-01 09:50:00,conf_blocked,HOLD,0.37478426008902266,TRENDING_UP
TATASTEEL.NS,2026-01-01 09:50:00,regime_blocked,HOLD,0.42154594339147644,TRENDING_UP
